Afghanistan,note - the Ministry of Justice licensed 84 political parties as of December 2012
Haiti,"Assembly of Progressive National Democrats or RDNP [Mirlande MANIGAT] 
      
      Christian and Citizen For Haiti's Reconstruction or ACCRHA [Chavannes JEUNE] 
      
      Convention for Democratic Unity or KID [Evans PAUL] 
      
      Cooperative Action to Rebuild Haiti or KONBA [Jean William JEANTY] 
      
      December 16 Platform or Platfom 16 Desanm [Dr. Gerard BLOT] 
      
      Democratic Alliance or ALYANS [Evans PAUL] (coalition composed of KID and PPRH) 
      
      Democratic Centers's National Council or CONACED [Osner FEVRY] 
      
      Democratic Movement for the Liberation of Haiti-Revolutionary Party of Haiti or MODELH-PRDH 
      
      Effort and Solidarity to Create an Alternative for the People or ESKAMP [Joseph JASME] 
      
      Fanmi Lavalas or FL [Jean-Bertrand ARISTIDE] 
      
      For Us All or PONT [Jean-Marie CHERESTAL] 
      
      Grouping of Citizens for Hope or RESPE [Charles-Henri BAKER] 
      
      Haiti in Action or AAA [Youri LATORTUE] 
      
      Haitians for Haiti [Yvon NEPTUNE] 
      
      Independent Movement for National Reconstruction or MIRN [Luc FLEURINORD] 
      
      Konbit Pou refe Ayiti or KONBIT 
      
      Lavni Organization or LAVNI [Yves CRISTALIN] 
      
      Liberal Party of Haiti or PLH [Jean Andre VICTOR] 
      
      Liberation Platform or PLATFORME LIBERATION 
      
      Love Haiti or Renmen Ayiti [Jean-Henry CEANT and Camille LEBLANC] 
      
      Merging of Haitian Social Democratics or FUSION [Edmonde Supplice BEAUZILE] (coalition of Ayiti Capable, Haitian National Revolutionary Party, and National Congress of Democratic Movements) 
      
      Mobilization for National Development or MDN [Hubert de RONCERAY] 
      
      National Front for the Reconstruction of Haiti or FRN [Guy PHILIPPE] 
      
      New Christian Movement for a New Haiti or MOCHRENA [Luc MESADIEU] 
      
      Peasant's Response or Repons Peyizan [Michel MARTELLY] 
      
      Platform Alternative for Progress and Democracy or ALTENATIV [Victor BENOIT and Evans PAUL] 
      
      Platform of Haitian Patriots or PLAPH [Dejean BELISAIRE and Himmler REBU] 
      
      Popular Party for the Renewal of Haiti or PPRH [Claude ROMAIN] 
      
      Rally or RASAMBLE 
      
      Respect or RESPE 
      
      Socialist Action Movement or MAS 
      
      Strength in Unity or Ansanm Nou Fo [Leslie VOLTAIRE] 
      
      Struggling People's Organization or OPL [Sauveur PIERRE-ETIENNE] 
      
      Union [Chavannes JEUNE] 
      
      Union of Haitian Citizens for Democracy, Development, and Education or UCADDE [Jeantel JOSEPH] 
      
      Union of Nationalist and Progressive Haitians or UNPH [Edouard FRANCISQUE] 
      
      Unity or Inite [Levaillant LOUIS-JEUNE] (coalition that includes Front for Hope or L'ESPWA) 
      
      Vigilance or Veye Yo [Lavarice GAUDIN] 
      
      Youth for People's Power or JPP [Rene CIVIL]"
Holy See (Vatican City),none
Honduras,"Anti-Corruption Party or PAC [Salvador NASRALLA] 
      
      Christian Democratic Party or DC [Felicito AVILA Ordonez] 
      
      Democratic Unification Party or UD [Cesar HAM] 
      
      Freedom and Refounding Party or LIBRE [Jose Manuel ZELAYA Rosales] 
      
      Liberal Party or PL [Mauricio VILLEDA Bermudez] 
      
      National Party of Honduras or PNH [Gladys Aurora LOPEZ] 
      
      Social Democratic Innovation and Unity Party or PINU [Jorge Rafael AGUILAR Paredes]"
Hong Kong,"parties:  
      
      Association for Democracy and People's Livelihood or ADPL [Bruce LIU Sing-lee] 
      
      Business and Professional Alliance or BPA [Andrew LEUNG] 
      
      Civic Party [EU Audrey] 
      
      Democratic Alliance for the Betterment and Progress of Hong Kong or DAB [TAM Yiu-chung] 
      
      Democratic Party [Emily LAU] 
      
      Labor Party [LEE Cheuk-yan] 
      
      League of Social Democrats or LSD [LEUNG Kwok-hung] 
      
      Liberal Party [James TIEN] 
      
      Neo Democrats [joint leaders] 
      
      New People's Party [Regina IP Lau Su-yee] 
      
      People Power [Erica YUEN Mi-ming] 
      
      
      
      
        others: 
      
      Confederation of Trade Unions or CTU 
      
      Federation of Trade Unions or FTU 
      
      Neighborhood and Workers Service Center or NWSC 
      
      Professional Commons (think tank) [Charles Peter MOK] 
      
      Professional Teachers Union or PTU 
      
      
      
      
        note: political blocs include: pro-democracy - ADPL, Civic Party, Democratic Party, Labor Party, LSD, People Power, Professional Commons; pro-Beijing - DAB, FTU, Liberal Party, New People's Party, BPA; there is no political party ordinance, so there are no registered political parties; politically active groups register as societies or companies"
Hungary,"Christian Democratic People's Party or KDNP [Zsolt SEMJEN] 
      
      Democratic Coalition or DK [Ferenc GYURCSANY] 
      
      Dialogue for Hungary or PM [Benedek JAVOR, Timea SZABO, co-chairs] 
      
      Fidesz-Hungarian Civic Alliance or Fidesz [Viktor ORBAN, chairman] 
      
      Hungarian Liberal Party or MLP [Gabor FODOR] 
      
      Hungarian Socialist Party or MSZP [Attila MESTERHAZY] 
      
      Movement for a Better Hungary or Jobbik [Gabor VONA] 
      
      Politics Can Be Different or LMP [Andras SCHIFFER, Bernadett SZEL] 
      
      Together or Egyutt [Gordon BAJNAI] 
      
      Unity [a coalition of MSZP, Egyutt, DK, PM, and MLP]"
Iceland,"Bright Future (Bjort Framtid) or BF [Gudmundur STEINGRIMSSON] 
      
      Dawn (Dogun) [Benedikt SIGURDARSON] 
      
      Independence Party (Sjalfstaedisflokkurinn) or IP [Bjarni BENEDIKTSSON] 
      
      Left-Green Movement (Vinstrihreyfingin) or LGM [Katrin JAKOBSDOTTIR] 
      
      Pirate Party [Birgitta JONSDOTTIR] 
      
      Progressive Party (Framsoknarflokkurinn) or PP [Sigmundur David GUNNLAUGSSON] 
      
      Rainbow [Atli GISLASON] [Jon BJARNASON] 
      
      Social Democratic Alliance (Samfylkingin) or SDA [Arni Pall ARNASON] 
      
      Solidarity (Samstada) [Lilja MOSESDOTTIR]"
India,"Aam Aadmi Party or AAP [Arvind KEJRIWAL] 
      
      All India Anna Dravida Munnetra Kazhagam or AIADMK [J. JAYALALITHAA] 
      
      All India Trinamool Congress or AITC [Mamata BANERJEE] 
      
      Bahujan Samaj Party or BSP [MAYAWATI] 
      
      Bharatiya Janata Party or BJP [Rajnath SINGH] 
      
      Biju Janata Dal or BJD [Naveen PATNAIK] 
      
      Communist Party of India or CPI [Suravaram Sudhakar REDDY, Secretary-General] 
      
      Communist Party of India-Marxist or CPI(M) [Prakash KARAT] 
      
      Dravida Munnetra Kazhagam or DMK [M.KARUNANIDHI] 
      
      Indian National Congress or INC [Sonia GANDHI] 
      
      Janata Dal (United) or JD(U) [Sharad YADAV] 
      
      Lok Janshakti Party (LJP) [Ram Vilas PASWAN] 
      
      Nationalist Congress Party or NCP [Sharad PAWAR] 
      
      Rashtriya Janata Dal or RJD [Lalu Prasad YADAV] 
      
      Rashtriya Lok Dal or RLD [Ajit SINGH] 
      
      Samajwadi Party or SP [Mulayam Singh YADAV] 
      
      Shiromani Akali Dal or SAD [Parkash Singh BADAL] 
      
      Shiv Sena or SS [Uddhav THACKERAY] 
      
      Telugu Desam Party or TDP [Chandrababu NAIDU] 
      
      Telegana Rashtra Samithi (TRS) [K. Chandrashekar RAO] 
      
      YSR Congress(YSRC) [Jaganmohan REDDY] 
      
      
      
      
        note: India has dozens of national and regional political parties"
Indonesia,"Democrat Party or PD [Susilo Bambang YUDHOYONO] 
      
      Functional Groups Party or GOLKAR [Aburizal BAKRIE] 
      
      Great Indonesia Movement Party or GERINDRA [SUHARDI] 
      
      Indonesia Democratic Party-Struggle or PDI-P [MEGAWATI Sukarnoputri] 
      
      National Awakening Party or PKB [Muhaiman ISKANDAR] 
      
      National Mandate Party or PAN [Hatta RAJASA] 
      
      People's Conscience Party or HANURA [WIRANTO] 
      
      Prosperous Justice Party or PKS [Anis MATTA] 
      
      United Development Party or PPP [Suryadharma ALI]"
Iran,"note: formal political parties are a relatively new phenomenon in Iran and most conservatives still prefer to work through political pressure groups rather than parties; often political parties or coalitions are formed prior to elections and disbanded soon thereafter; a loose pro-reform coalition called the 2nd Khordad Front, which includes political parties as well as less formal groups and organizations, achieved considerable success in elections for the sixth Majles in early 2000; groups in the coalition included the Islamic Iran Participation Front (IIPF), Executives of Construction Party (Kargozaran), Solidarity Party, Islamic Labor Party, Mardom Salari, Mojahedin of the Islamic Revolution Organization (MIRO), and Militant Clerics Society (MCS; Ruhaniyun); the coalition participated in the seventh Majles elections in early 2004 but boycotted them after 80 incumbent reformists were disqualified; following his defeat in the 2005 presidential elections, former MCS Secretary General and sixth Majles Speaker Mehdi KARUBI formed the National Trust Party; a new conservative group, Islamic Iran Developers Coalition (Abadgaran), took a leading position in the new Majles after winning a majority of the seats in February 2004; ahead of the 2008 Majles elections, traditional and hardline conservatives attempted to close ranks under the United Front of Principlists and the Broad Popular Coalition of Principlists; several reformist groups, such as the MIRO and the IIPF, also came together as a reformist coalition in advance of the 2008 Majles elections; the IIPF has repeatedly complained that the overwhelming majority of its candidates were unfairly disqualified from the 2008 elections"
Iraq,"Badr Organization [Hadi al-AMIRI] 
      
      Da'wa Party (Islamic) [Prime Minister Nuri al-MALIKI] 
      
      Da'wa Tanzim [Hashim al-MUSAWI branch] 
      
      Da-wa Tanzim [Abd al-Karim al-ANZI branch] 
      
      Fadilah Party [Hasan al-SHAMMARI and Ammar TUAMA] 
      
      Goran (Change) List (also known as the Movement for Change) [Nushirwan MUSTAFA] 
      
      Iraqi Covenant Gathering [Ahmad Abd al-Ghafur al-SAMARRAI] 
      
      Iraqi Constitutional Party [Jawad al-BULANI] 
      
      Iraqi Front for National Dialogue [Deputy Prime Minister Salih al-MUTLAQ] 
      
      Iraqi Islamic Party or IIP [Usama al-TIKRITI] 
      
      Iraqi Justice and Reform Movement [Shaykh Abdallah al-YAWR] 
      
      Iraqi National Accord or INA [Ayad ALLAWI] 
      
      Iraqi National Alliance [Ibrahim al-JAFARI] 
      
      Iraqi National Congress or INC [Ahmad CHALABI] 
      
      Iraqi National Movement (see Iraqi National Accord) 
      
      Iraqi Unity Alliance [Nauaf Saud ZAID] 
      
      Islamic Supreme Council of Iraq or ISCI [Ammar al-HAKIM] 
      
      Kurdistan Alliance 
      
      Kurdistan Democratic Party or KDP [Kurdistan Regional Government President Masud BARZANI] 
      
      Kurdistan Islamic Group (also called Islamic Group of Kurdistan) [Ali BAPIR] 
      
      Kurdistan Islamic Union [ Mohammed FARAI] 
      
      Future National Gathering [Finance Minister Rafi al-ISSAWI] 
      
      National Iraqiyun Gathering [Usama al-NUJAYFI] 
      
      National Movement for Reform and Development [Jamal al-KARBULI] 
      
      National Reform Trend (part of the National Iraqi Alliance) [former Prime Minister Ibrahim al-JAFARI] 
      
      Patriotic Union of Kurdistan or PUK [President Jalal TALABANI] 
      
      Sadrist Trend [Muqtada al-SADR] 
      
      Sahawa al-Iraq [Ahmad al-RISHAWI] 
      
      State of Law Coalition [Nouri al-MALIKI] 
      
      United Coalition [Usama al-NUJAYFI] 
      
      
        note: numerous smaller local, tribal, and minority parties"
Ireland,"Fianna Fail [Micheal MARTIN] 
      
      Fine Gael [Enda KENNY] 
      
      Green Party [Eamon RYAN] 
      
      Labor Party [Eamon GILMORE] 
      
      New Vision 
      
      Sinn Fein [Gerry ADAMS] 
      
      Socialist Party [Collective Leadership] 
      
      The Workers' Party [Michael FINNEGAN] 
      
      United Left Alliance"
Isle of Man,"Alliance for Progressive Government 
      
      Liberal Vannin Party [Peter KARRAN] 
      
      Manx Labor Party 
      
      Mec Vannin [Bernard MOFFATT]; note - sometimes referred to as the Manx Nationalist Party 
      
      
      
      
        note: 
      
      most members sit as independents"
Israel,"Balad [Jamal ZAHALKA] 
      
      Democratic Front for Peace and Equality (HADASH) [Muhammad BARAKEH] 
      
      Kadima [Shaul MOFAZ] 
      
      Labor Party [Yitzhak HERZOG] 
      
      Likud [Binyamin NETANYAHU] 
      
      National Union [Uri ARIEL] 
      
      SHAS [Eliyahu YISHAI] 
      
      The Jewish Home (HaBayit HaYehudi) [Naftali BENNETT] 
      
      The Movement (Hatnuah) [Tzipora ""Tzipi"" LIVNI] 
      
      The New Movement-Meretz [Haim ORON] 
      
      United Arab List-Ta'al [Ibrahim SARSUR] 
      
      United Torah Judaism or UTJ [Yaakov LITZMAN] (a conglomerate of three parties) 
      
      Yesh Atid [Yair LAPID] 
      
      Yisrael Beiteinu or YB [Avigdor LIEBERMAN]"
Italy,"Center-right parties::  
      
      Forza Italia [Silvio BERLUSCONI] 
      
      The New Center-Right or NCD [Angelino ALFANO] 
      
      Northern League or LN [Roberto MARONI] 
      
      Brothers of Italy or Fdl [Giorgia MELONI, Ignazio LA RUSSA, and Guido CROSETTO] 
      
      The Right or LD [Francesco STORACE] 
      
      other minor parties 
      
      
      
      
        Center-left parties:: 
      
      Democratic Party or PD [Matteo RENZI] 
      
      Left Ecology Freedom or SEL [Nichi VENDOLA] 
      
      Italian Socialist Party or PSI [Riccardo NENCINI] 
      
      Democratic Centre or CD [Bruno TABACCI and Massimo DONADI] 
      
      South Tyrolean People's Party or SVP [Arno KOMPATSCHER] 
      
      
      
      
        Centrist parties:: 
      
      Civic Choice or SC [Alberto BOMBASSEI] 
      
      Union of the Center or UdC [Pier Ferdinando CASINI] 
      
      Future and Freedom for Italy or FLI [vacant] 
      
      
      
      
        other coalitions and parties:: 
      
      Five Star Movment or M5S [Beppe GRILLO] 
      
      Civil Revolution or RC [Antonio INGROIA] 
      
      Act to Stop the Decline or FiD [Michele BOLDRIN]"
Jamaica,"Jamaica Labor Party or JLP [Andrew HOLNESS] 
      
      People's National Party or PNP [Portia SIMPSON-MILLER] 
      
      National Democratic Movement or NDM [Michael WILLIAMS]"
Japan,"Democratic Party of Japan or DPJ [Banri KAIEDA] 
      
      Japan Communist Party or JCP [Kazuo SHII] 
      
      Japan Restoration Party or JRP [Shintaro ISHIHARA] 
      
      Liberal Democratic Party or LDP [Shinzo ABE] 
      
      New Komeito or NK [Natsuo YAMAGUCHI] 
      
      People's Life Party or PF [Ichiro OZAWA] 
      
      Social Democratic Party or SDP [Tadatomo YOSHIDA] 
      
      Tomorrow Party of Japan or TPJ [Tomoko ABE] 
      
      Your Party or YP [Yoshimi WATANABE]"
Jersey,"one declared parties:  
      
      Jersey Democratic Alliance 
      
      
      
      
        note: all senators and deputies elected in 2008 were independents"
Jordan,"Ahl al-Himma 
      
      Al-Bayyan 
      
      Al-Hayah Jordanian Party [Zahier AMR] 
      
      Arab Ba'ath Socialist Party [Akram al-HIMSI] 
      
      Ba'ath Arab Progressive Party [Fuad DABBOUR] 
      
      Citizenship 
      
      Construction 
      
      Cooperation 
      
      Dawn 
      
      Democratic People's Party [Ablah ABU ULBAH] 
      
      Democratic Popular Unity Party [Sa'id DIAB] 
      
      Dignity 
      
      Du'a Party [Muhammed ABU BAKR] 
      
      Free Voice 
      
      Islamic Action Front or IAF [Hamzah MANSOUR] 
      
      Islamic Centrist Party [Muhammad al-HAJ] 
      
      Jordanian Communist Party [Munir HAMARNAH] 
      
      Jordanian National Party [Muna ABU BAKR] 
      
      Jordanian United Front [Amjad al-MAJALI] 
      
      Labor and Trade 
      
      Nation 
      
      National Accord Youth Block 
      
      National Action 
      
      National Constitution Party [Ahmad al-SHUNAQ] 
      
      National Current Party [Abd al-Hadi al-MAJALI] 
      
      National Movement for Direct Democracy [Muhammad al-QAQ] 
      
      National Union 
      
      National Unity 
      
      Nobel Jerusalem 
      
      Risalah Party [Hazem QASHOU] 
      
      Salvation 
      
      Stronger Jordan 
      
      The Direct Democratic Nationalists Movement Party [Nash'at KHALIFAH] 
      
      The People 
      
      Unified Front 
      
      United Front 
      
      Voice of the Nation"
Kazakhstan,"Ak Zhol Party (Bright Path) [Azat PERUASHEV] 
      
      Alga [Vladimir KOZLOV] (unregistered and banned as extremist in November 2012) 
      
      Auyl (Village) [Gani KALIYEV] 
      
      Azat (Freedom) Party [Bolat ABILOV] (formerly True Ak Zhol Party) 
      
      Birlik (Unity) [Seril SULTANGALI] (Birlik is an April 2013 merger of Adilet (Justice; formerly Democratic Party of Kazakhstan) and Rukhaniyat (Spirituality)) 
      
      NSDP [Zharmakhan TUYAKBAY] 
      
      Communist Party of Kazakhstan or KPK [Serikbolsyn ABDILDIN] (suspended by court decision) 
      
      Communist People's Party of Kazakhstan [Vladislav KOSAREV] 
      
      National Social Democratic Party or NSDP [Zharmakhan TUYAKBAY] 
      
      Nur Otan (Fatherland's Ray of Light) [Nursultan NAZARBAYEV, Nurlan NIGMATULIN] (the Agrarian, Asar, and Civic parties merged with Otan) 
      
      Patriots' Party [Gani KASYMOV]"
Kenya,"Federal Party of Kenya or FPK [Cyrus JIRONGO] 
      
      Kenya African National Union or KANU [Gideon MOI] 
      
      The National Party Alliance or TNA [Uhuru KENYATTA] 
      
      National Rainbow Coalition-Kenya or NARC-Kenya [Martha KARUA] 
      
      Orange Democratic Movement of Kenya or ODM [Raila ODINGA] 
      
      United Democratic Forum Party or UDF [Musalia MUDAVADI] 
      
      United Republican Party or URP [William RUTO] 
      
      Wiper Democratic Movement or WDM (formerly Orange Democratic Movement or ODM-K) [Kalonzo MUSYOKA]"
Kiribati,"Boutokaan Te Koaua Party or BTK [Anote TONG] 
      
      Kamaeuraoan Te I-Kiribati Party or KTK [Tetaua TAITAI] 
      
      Maurin Kiribati Pati or MKP [Rimeta BENIAMINA] 
      
      
      
      
        note: there is no tradition of formally organized political parties in Kiribati; they more closely resemble factions or interest groups because they have no party headquarters, formal platforms, or party structures"
"Korea, North","major party:  
      
      Korean Workers' Party or KWP [KIM Jong Un] 
      
      
      
      
        minor parties: 
      
      Chondoist Chongu Party [RYU Mi Yong] (under KWP control) 
      
      Social Democratic Party [KIM Yong Dae] (under KWP control)"
"Korea, South","Justice Party [CHEON Ho-sun] 
      
      Liberty Forward Party or LFP (merged with NFP in October 2012) 
      
      New Frontier Party (NFP) or Saenuri (formerly Grand National Party) [HWANG Woo-yea] 
      
      New Politics Alliance for Diplomacy or NPAD [KIM Han-gil and AHN Cheol-soo] (merger of the Democratic Party or DP (formerly DUP) [Kim Han-gil] and the New Political Vision Party or NPVP [AHN Cheol-soo] in March 2014) 
      
      Progressive Justice Party or PJP [ROH Hoe-chan and CHO Joon-ho] 
      
      Unified Progressive Party or UPP [LEE Jung-hee]"
Kosovo,"Albanian Christian Democratic Party of Kosovo or PSHDK [Uke BERISHA] 
      
      Alliance for a New Kosovo or AKR [Behgjet PACOLLI] 
      
      Alliance for the Future of Kosovo or AAK [Ramush HARADINAJ] 
      
      Ashkali Party for Integration or PAI 
      
      Bosniak Party of Democratic Action of Kosovo or BSDAK 
      
      Citizens' Initiative of Gora or GIG [Murselj HALJILJI] 
      
      Civic Initiative for Kosovo or NISMA [Fatmir LIMAJ] 
      
      Conservative Party of Kosovo or PK [Munir BASHA] 
      
      Democratic Action Party or SDA [Numan BALIC] 
      
      Democratic League of Dardania or LDD [Nexhat DACI] 
      
      Democratic League of Kosovo or LDK [Isa MUSTAFA] 
      
      Democratic Party of Ashkali of Kosovo or PDAK [Berat QERIMI] 
      
      Democratic Party of Kosovo or PDK [Hashim THACI] 
      
      Independent Liberal Party or SLS [Slobadan PETROVIC] 
      
      Justice Party of Kosovo or PD (formerly part of the Coalition for New Kosovo or KKR) [Ferid AGANI] 
      
      Kosovo Democratic Turkish Party or KDTP [Mahir YAGCILAR] 
      
      Movement for Self-Determination (Vetevendosje) or VV [Albin KURTI] 
      
      Movement for Unification or LB [Avni KLINAKU] 
      
      National Democratic Party of Albania or PNDSH [Bujar ABDULLAHU] 
      
      New Democratic Initiative of Kosovo or IRDK [Xhevdet NEZIRAJ] 
      
      New Democratic Party or NDS [Predrag JOVIC] 
      
      Serb People's Party or SNS [Mihailo SCEPANOVIC] 
      
      Serb People's Party of Kosovo or SNPK 
      
      Serbian Democratic Party of Kosovo and Metohija or SDSKiM [Sasa DJOKIC] 
      
      Serbian Kosovo and Metohija Party or SKMS [Dragisa MIRIC] 
      
      Serbian List [Aleksandar JABLANOVIC] 
      
      Serbian National Council of Northern Kosovo and Metohija or SNV [Milan IVANOVIC] 
      
      Serbian Social Democratic Party or SSDS 
      
      Social Democratic Party of Kosovo or PSDK 
      
      Socialist Party of Kosovo or PSK [Ilaz KADOLLI] 
      
      Turkish Democratic Party of Kosovo or KDTP [Mahir YAGCILAR] 
      
      Union of Independent Social Democrats of Kosovo and Metohija or SNSKiM [Ljubisa ZIVIC] 
      
      United Roma Party of Kosovo or PREBK [Haxhi Zylfi MERXHA] 
      
      United Serb List or JSL 
      
      Vakat Coalition or VAKAT [Sadik IDRIZI] 
      
      a coalition formed for the 2014 parliamentary elections included, the PDK, PD, LB, PSHDK, and PK"
Kuwait,"none; while the formation of political parties is not permitted, they are not forbidden by law"
Kyrgyzstan,"Ar-Namys (Dignity) Party [Feliks KULOV] 
      
      Ata-Jurt (Homeland) [Kamchybek TASHIEV, Akhmat KELDIBEKOV, Sadyr JAPAROV] 
      
      Ata-Meken (Fatherland) [Omurbek TEKEBAEV] 
      
      Butun Kyrgyzstan (All Kyrgyzstan) [Adakhan MADUMAROV] 
      
      Respublika [Omurbek BABANOV] 
      
      Social-Democratic Party of Kyrgyzstan (SDPK) [Almazbek ATAMBAEV]"
Laos,Lao People's Revolutionary Party or LPRP [CHOUMMALI Saignason]; other parties proscribed
Latvia,"Union of Greens and Farmers or ZZS [Raimonds VEJONIS] 
      
      Harmony Center or SC [Nils USAKOVS] 
      
      National Alliance ""All For Latvia!""-""For Fatherland and Freedom/LNNK"" or NA [Gaidis BERZINS, Raivis DZINTARS] 
      
      Unity [Solvita ABOLTINA] 
      
      Reform Party or RP [Edmunds DEMITERS]"
Lebanon,"14 March Coalition:  
      
      Democratic Left [Ilyas ATALLAH] 
      
      Democratic Renewal Movement [Nassib LAHUD] 
      
      Future Movement Bloc [Sa'ad al-HARIRI] 
      
      Kataeb Party [Amine GEMAYEL] 
      
      Lebanese Forces [Samir JA'JA] 
      
      Tripoli Independent Bloc 
      
      
      
      
        8 March Coalition: 
      
      Development and Resistance Bloc [Nabih BERRI, leader of Amal Movement] 
      
      Free Patriotic Movement [Michel AWN] 
      
      Loyalty to the Resistance Bloc [Mohammad RA'AD] (includes Hizballah [Hassan NASRALLAH]) 
      
      Nasserite Popular Movement [Usama SAAD] 
      
      Popular Bloc [Elias SKAFF] 
      
      Syrian Ba'th Party [Sayez SHUKR] 
      
      Syrian Social Nationalist Party [Ali QANSO] 
      
      Tashnaq [Hovig MEKHITIRIAN] 
      
      
      
      
        Independent: 
      
      Democratic Gathering Bloc [Walid JUNBLATT, leader of Progressive Socialist Party] 
      
      Metn Bloc [Michel MURR]"
Lesotho,"Pakalitha Mosisili All Basotho Convention or ABC [Motsoahae Thomas THABANE] 
      
      Basotho Batho Democratic Party or BBDP [Geremane RAMATHEBANE] 
      
      Basotho Congress Party or BCP [Thulo MAHLAKENG] 
      
      Basotho Democratic National Party or BDNP [Thabang NYEOE] 
      
      Basotho National Party or BNP [Thesele MASERIBANE] 
      
      Democratic Congress or DC [Pakalitha MOSISILI] 
      
      Lesotho Congress for Democracy or LCD [Mothetjoa METSING] 
      
      Lesotho Peoples Congress or LPC [Kelebone MAOPE] 
      
      Lesotho Workers Party or LWP [Macaefa BILLY] 
      
      Marematlou Freedom Party or MFP [Vincent MALEBO] 
      
      National Independent Party or NIP [Kimetso MATHABA]"
Liberia,"Alliance for Peace and Democracy or APD [Marcus S. G. DAHN] 
      
      Alternative National Congress or ANC [Orishil GOULD] 
      
      Congress for Democratic Change or CDC [George WEAH] 
      
      Liberia Destiny Party or LDP [Nathaniel BARNES] 
      
      Liberty Party or LP [J. Fonati KOFFA] 
      
      Liberia Transformation Party or LTP [Julius SUKU] 
      
      Movement for Progressive Change or MPC [Simeon FREEMAN] 
      
      National Democratic Coalition or NDC [Dew MAYSON] 
      
      National Democratic Party of Liberia or NDPL [D. Nyandeh SIEH] 
      
      National Patriotic Party or NPP [Theophilus C. GOULD] 
      
      National Reformist Party or NRP [Maximillian T. W. DIABE] 
      
      National Union for Democratic Progress or NUDP [Victor BARNEY] 
      
      Unity Party or UP [Varney SHERMAN]"
Libya,"Al-Watan (Homeland) Party 
      
      Justice and Construction Party or JCP [Muhammad SAWAN] 
      
      National Front (initially the National Front for the Salvation of Libya, formed in 1981 as a diaspora opposition group) 
      
      National Forces Alliance or NFA [Mahmoud JIBRIL, founder] (includes many political organizations, NGOs, and independents) 
      
      Union for the Homeland [Abd al-Rahman al-SUWAYHILI] 
      
      
      
      
        note: list includes some of the larger political parties and leaders"
Liechtenstein,"The Free List (Die Freie Liste) or FL [Wolfgang MARXER] 
      
      the independents (Die Unabhaengigen) or DU [Harry QUADERER] 
      
      Progressive Citizens' Party (Fortschrittliche Buergerpartei) or FBP [Alexander BATLINER] 
      
      Fatherland Union (Vaterlaendische Union) or VU [Jakob BUECHEL]"
Lithuania,"Christian Party or KP [Gediminas VAGNORIUS] 
      
      Civil Democracy Party or PDP [Algimantas MATULEVICIUS] 
      
      Democratic Labor and Unity Party or DDVP [Kristina BRAZAUSKIENE] 
      
      Electoral Action of Lithuanian Poles or LLRA [Valdemar TOMASEVSKI] 
      
      Emigrants Party or EP [Juozas MURAUSKAS] 
      
      Homeland Union-Lithuanian Christian Democrats or TS-LKD [Andrius KUBILIUS] 
      
      Labor Party or DP [Loreta GRAUZINIENE] 
      
      Liberal and Center Union or LCS [Arturas MELIANAS] 
      
      Liberal Movement or LS or LRLS [Eligijus MASIULIS] 
      
      Lithuanian People's Party or LLP [Kazimiera PRUNSKIENE] 
      
      Lithuanian People's Party or LZP [Joana SIMANAUSKIENE] 
      
      Lithuanian Russian Union or LRS [Sergejus DMITRIJEVAS] 
      
      Lithuanian Social Democratic Party or LSDP [Algirdas BUTKEVICIUS] 
      
      Nationalist Union or TS [Gintaras SONGAILA] 
      
      Order and Justice Party or TT [Rolandas PAKSAS] 
      
      Peasant and Greens Union or LVZS [Ramunas KARBAUSKIS] 
      
      Republican Party or RP [Valdemaras VALKIUNAS] 
      
      Russian Alliance or RA [Tamara LOCHANKINA] 
      
      Socialist People's Front or SLF [Algirdas PALECKIS] 
      
      Way of Courage or DK [Jonas VARKALA] 
      
      YES-Homeland Revival and Perspective or YES Union or TAIP Union or TAIP [Arturas ZUOKAS] 
      
      Young Lithuania Party or PJL [Stanislovas BUSKEVICIUS]"
Luxembourg,"Alternative Democratic Reform Party or ADR [Jean SCHOOS] 
      
      Christian Social People's Party or CSV [Michel WOLTER] 
      
      The Left (dei Lenk/la Gauche) [Serge URBANY] 
      
      Democratic Party or DP [Xavier BETTEL] 
      
      Green Party [Sam TANSON and Christian KMIOTEK] 
      
      Luxembourg Socialist Workers' Party or LSAP [Alex BODRY] 
      
      other minor parties"
Macau,"Alliance for Change or APM [Melinda CHAN Mei-yi] 
      
      Macau-Guangdong Union or UMG [MAK Soi-kun] 
      
      New Democratic Macau Association or ANMD (an electoral list of New Macau Association [Jason CHAO Teng-hei] 
      
      New Hope or NE [Jose Maria Pereira COUTINHO] 
      
      New Macau Association or AMN [Jason CHAO Teng-hei] 
      
      New Union for Macau's Development or NUDM [Angela LEONG On-kei] 
      
      Prosperous Democratic Macau Association or APMD (an electoral list of New Macau Association [Jason CHAO Teng-hei] 
      
      Union for Development or UPD [KWAN Tsui-hang] 
      
      Union for Promoting Progress or UPP [HO Ion-sang] 
      
      United Citizens Association of Macau or ACUM [CHAN Meng-kam] 
      
      
      
      
        note: there is no political party ordinance, so there are no registered political parties; politically active groups register as societies or companies"
