Albania,"total: 17 
      
      
        by type: cargo 16, roll on/roll off 1 
      
      
        foreign-owned: 1 (Turkey 1) 
      
      
        registered in other countries: 5 (Antigua and Barbuda 1, Panama 4) (2010)"
Turkey,"total: 629 
      
      
        by type: bulk carrier 102, cargo 281, chemical tanker 80, container 42, liquefied gas 6, passenger 2, passenger/cargo 60, petroleum tanker 25, refrigerated cargo 1, roll on/roll off 29, specialized tanker 1 
      
      
        foreign-owned: 1 (Italy 1) 
      
      
        registered in other countries: 645 (Albania 1, Antigua and Barbuda 7, Azerbaijan 1, Bahamas 3, Barbados 1, Belize 16, Brazil 1, Cambodia 15, Comoros 8, Cook Islands 4, Curacao 5, Cyprus 1, Dominica 1, Georgia 14, Italy 4, Kazakhstan 1, Liberia 16, Malta 233, Marshall Islands 70, Moldova 18, Panama 62, Russia 101, Saint Kitts and Nevis 18, Saint Vincent and the Grenadines 13, Sierra Leone 9, Slovakia 1, Tanzania 13, Togo 4, Tuvalu 1, unknown 3) (2010)"
Turkmenistan,"total: 11 
      
      
        by type: cargo 4, chemical tanker 1, petroleum tanker 5, refrigerated cargo 1 (2010)"
Tuvalu,"total: 58 
      
      
        by type: bulk carrier 4, cargo 24, chemical tanker 15, container 1, passenger 2, passenger/cargo 1, petroleum tanker 10, refrigerated cargo 1 
      
      
        foreign-owned: 33 (China 4, Indonesia 1, Maldives 1, Singapore 19, South Korea 1, Turkey 1, Vietnam 6) (2010)"
Ukraine,"total: 134 
      
      
        by type: bulk carrier 3, cargo 98, chemical tanker 1, passenger 6, passenger/cargo 5, petroleum tanker 8, refrigerated cargo 11, specialized tanker 2 
      
      
        registered in other countries: 172 (Belize 6, Cambodia 35, Comoros 10, Cyprus 3, Dominica 1, Georgia 10, Liberia 10, Malta 29, Marshall Islands 1, Moldova 14, Mongolia 1, Panama 8, Russia 12, Saint Kitts and Nevis 8, Saint Vincent and the Grenadines 12, Sierra Leone 5, Slovakia 2, unknown 5) (2010)"
United Arab Emirates,"total: 61 
      
      
        by type: bulk carrier 3, cargo 13, chemical tanker 8, container 7, liquefied gas 1, passenger/cargo 1, petroleum tanker 24, roll on/roll off 4 
      
      
        foreign-owned: 13 (Greece 3, Kuwait 10) 
      
      
        registered in other countries: 253 (Bahamas 23, Barbados 1, Belize 3, Cambodia 2, Comoros 8, Cyprus 3, Georgia 2, Gibraltar 5, Honduras 1, Hong Kong 1, India 4, Iran 2, Jordan 2, Liberia 37, Malta 1, Marshall Islands 12, Mexico 1, Netherlands 4, North Korea 2, Panama 83, Papua New Guinea 6, Philippines 1, Saint Kitts and Nevis 8, Saint Vincent and the Grenadines 3, Saudi Arabia 6, Sierra Leone 1, Singapore 10, Tanzania 3, Togo 1, UK 8, Vanuatu 1, unknown 8) (2010)"
United Kingdom,"total: 504 
      
      
        by type: bulk carrier 33, cargo 76, carrier 4, chemical tanker 58, container 178, liquefied gas 6, passenger 7, passenger/cargo 66, petroleum tanker 18, refrigerated cargo 2, roll on/roll off 31, vehicle carrier 25 
      
      
        foreign-owned: 271 (Australia 1, Bermuda 6, China 7, Denmark 43, France 39, Germany 59, Hong Kong 12, Ireland 1, Italy 3, Japan 5, Netherlands 1, Norway 32, Sweden 28, Taiwan 11, Tanzania 1, UAE 8, US 14) 
      
      
        registered in other countries: 308 (Algeria 15, Antigua and Barbuda 1, Argentina 2, Australia 5, Bahamas 18, Barbados 6, Belgium 2, Belize 4, Bermuda 14, Bolivia 1, Brunei 2, Cabo Verde 1, Cambodia 1, Cayman Islands 2, Comoros 1, Cook Islands 2, Cyprus 7, Georgia 5, Gibraltar 6, Greece 6, Honduras 1, Hong Kong 33, Indonesia 2, Italy 2, Liberia 22, Liberia 32, Luxembourg 5, Malta 21, Marshall Islands 12, Marshall Islands 3, Moldova 3, Nigeria 2, NZ 1, Panama 37, Panama 5, Saint Kitts and Nevis 1, Saint Vincent and the Grenadines 6, Sierra Leone 1, Singapore 6, Thailand 6, Tonga 1, US 4, unknown 1) (2010)"
United States,"total: 393 
      
      
        by type: barge carrier 6, bulk carrier 55, cargo 51, carrier 2, chemical tanker 30, container 84, passenger 18, passenger/cargo 56, petroleum tanker 35, refrigerated cargo 3, roll on/roll off 27, vehicle carrier 26 
      
      
        foreign-owned: 85 (Australia 1, Bermuda 5, Denmark 31, France 4, Germany 5, Malaysia 2, Norway 17, Singapore 16, UK 4) 
      
      
        registered in other countries: 794 (Antigua and Barbuda 7, Australia 2, Bahamas 109, Belgium 1, Bermuda 26, Canada 10, Cayman Islands 57, Comoros 2, Cyprus 5, Georgia 1, Greece 8, Honduras 1, Hong Kong 44, Indonesia 2, Ireland 2, Isle of Man 1, Italy 23, Liberia 53, Malta 34, Marshall Islands 200, Netherlands 16, Norway 10, Panama 90, Portugal 4, Saint Kitts and Nevis 1, Saint Vincent and the Grenadines 18, Singapore 36, South Korea 8, Togo 1, UK 14, Vanuatu 2, unknown 6) (2010)"
Uruguay,"total: 16 
      
      
        by type: bulk carrier 1, cargo 2, chemical tanker 3, passenger/cargo 6, petroleum tanker 3, roll on/roll off 1 
      
      
        foreign-owned: 8 (Argentina 1, Denmark 1, Greece 1, Spain 5) 
      
      
        registered in other countries: 1 (Liberia 1) (2010)"
Vanuatu,"total: 77 
      
      
        by type: bulk carrier 38, cargo 8, chemical tanker 2, container 1, liquefied gas 2, passenger 1, refrigerated cargo 24, vehicle carrier 1 
      
      
        foreign-owned: 72 (Belgium 1, Canada 5, China 1, Greece 3, Japan 39, Norway 1, Poland 9,  Russia 7, Singapore 2, Taiwan 1, UAE 1, US 2) (2010)"
Venezuela,"total: 53 
      
      
        by type: bulk carrier 4, cargo 12, chemical tanker 1, liquefied gas 5, passenger 1, passenger/cargo 14, petroleum tanker 16 
      
      
        foreign-owned: 9 (Denmark 1, Estonia 1, Germany 1, Greece 4, Mexico 1, Spain 1) 
      
      
        registered in other countries: 14 (Panama 13, Saint Vincent and the Grenadines 1) (2010)"
Vietnam,"total: 579 
      
      
        by type: barge carrier 1, bulk carrier 142, cargo 335, chemical tanker 23, container 19, liquefied gas 7, passenger/cargo 1, petroleum tanker 48, refrigerated cargo 1, roll on/roll off 1, specialized tanker 1 
      
      
        registered in other countries: 86 (Cambodia 1, Kiribati 2, Mongolia 33, Panama 43, Taiwan 1, Tuvalu 6) (2010)"
Yemen,"total: 5 
      
      
        by type: chemical tanker 2, petroleum tanker 2, roll on/roll off 1 
      
      
        registered in other countries: 14 (Moldova 4, Panama 4, Sierra Leone 2, Togo 1, unknown 3) (2010)"
